test_loss,test_correct,test_dataset_length,test_accuracy,train_loss,train_correct,train_dataset_length,train_accuracy
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
nan,1000,10000,10.0,nan,5000,50000,10.0
